date,price,Conventional Oil,Non-Conventional Oil,prod_change_conventional,price_change,price_lag_6,price_lag_12,prod_change
2021-04-01,61.41,2441079.1,13334913.7,-8411.399999999907,0.8699999999999974,42.76,56.04,-2079202.2000000011
2021-06-01,67.8,2353086.0,14789400.3,-87993.1000000001,6.390000000000001,38.51,61.14,1454486.6000000015
2021-07-01,75.33,2509504.0,15540330.4,156418.0,7.530000000000001,44.54,20.28,750930.0999999996
2021-09-01,68.63,2448761.2,14427837.6,-60742.799999999814,-6.700000000000003,48.35,19.72,-1112492.8000000007
2021-10-01,76.01,2636580.9,16280368.8,187819.69999999972,7.38000000000001,53.55,35.49,1852531.2000000011
2021-11-01,84.08,2559598.3,15796937.9,-76982.6000000001,8.069999999999993,60.54,39.88,-483430.9000000004
2021-12-01,65.44,2591196.2,15382317.4,31597.900000000373,-18.64,61.41,42.76,-414620.5
2022-02-01,88.22,2400678.8,14248225.7,-190517.40000000037,22.78,67.8,38.51,-1134091.7000000011
2022-03-01,103.66,2748895.4,15640911.4,348216.6000000001,15.439999999999998,75.33,44.54,1392685.7000000011
2022-04-01,99.32,2774551.8,14557193.1,25656.399999999907,-4.340000000000003,68.63,48.35,-1083718.3000000007
2022-06-01,115.26,2710481.4,14340521.4,-64070.39999999991,15.940000000000012,76.01,53.55,-216671.69999999925
2022-07-01,110.3,2822694.7,15821898.1,112213.30000000028,-4.960000000000008,84.08,60.54,1481376.6999999993
2022-08-01,96.59,2878991.1,15950110.3,56296.39999999991,-13.709999999999994,65.44,61.41,128212.20000000112
2022-09-01,87.09,2767608.5,15718093.8,-111382.6000000001,-9.5,88.22,67.8,-232016.5
2022-11-01,88.36,2833080.2,16055696.1,65471.700000000186,1.269999999999996,103.66,75.33,337602.2999999989
2022-12-01,81.06,2866420.8,15904731.6,33340.59999999963,-7.299999999999997,99.32,68.63,-150964.5
2023-02-01,76.34,2639968.6,14468732.0,-226452.19999999972,-4.719999999999999,115.26,76.01,-1435999.5999999996
2023-03-01,77.57,2953218.6,16048312.0,313250.0,1.2299999999999898,110.3,84.08,1579580.0
2023-05-01,75.65,2698071.5,14200446.8,-255147.1000000001,-1.9199999999999875,96.59,65.44,-1847865.1999999993
2023-06-01,70.09,2665280.2,14608342.1,-32791.299999999814,-5.560000000000002,87.09,88.22,407895.2999999989
2023-08-01,81.37,2957299.1,16188686.6,292018.8999999999,11.280000000000001,88.36,103.66,1580344.5
2023-09-01,85.52,2813190.5,15653722.3,-144108.6000000001,4.1499999999999915,81.06,99.32,-534964.2999999989
2023-11-01,81.05,2879351.5,16925120.2,66161.0,-4.469999999999999,76.34,115.26,1271397.8999999985
2023-12-01,73.7,3032751.7,17603812.2,153400.2000000002,-7.349999999999994,77.57,110.3,678692.0
2024-01-01,71.89,2842753.4,15923564.4,-189998.30000000028,-1.8100000000000023,75.65,96.59,-1680247.7999999989
